2018-12-11 21:06:37,941 | INFO  | Listening for connections at: mqtt://LAPTOP-QHB4PNJK:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-12-11 21:06:37,941 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-12-11 21:06:38,081 | INFO  | Listening for connections at ws://LAPTOP-QHB4PNJK:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2018-12-11 21:06:38,081 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-12-11 21:06:38,081 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:LAPTOP-QHB4PNJK-50154-1544533597784-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-12-11 21:06:38,081 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-12-11 21:06:38,549 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2018-12-11 21:06:38,627 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2018-12-11 21:06:39,065 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | WrapperSimpleAppMain
2018-12-19 17:31:35,284 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@4d8dc38d: startup date [Wed Dec 19 17:31:35 CST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2018-12-19 17:31:36,588 | INFO  | PListStore:[D:\Google Drive\Acer 桌面\桌面\課堂作業\網程設\HW4\apache-activemq-5.9.1\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2018-12-19 17:31:36,635 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Google Drive\Acer 桌面\桌面\課堂作業\網程設\HW4\apache-activemq-5.9.1\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-12-19 17:31:37,358 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2018-12-19 17:31:37,404 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2018-12-19 17:31:39,309 | INFO  | Recovery replayed 26913 operations from the journal in 1.922 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2018-12-19 17:31:39,483 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:LAPTOP-QHB4PNJK-64121-1545211899342-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-12-19 17:31:39,594 | INFO  | Listening for connections at: tcp://LAPTOP-QHB4PNJK:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-12-19 17:31:39,596 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-12-19 17:31:39,603 | INFO  | Listening for connections at: amqp://LAPTOP-QHB4PNJK:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-12-19 17:31:39,603 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-12-19 17:31:39,611 | INFO  | Listening for connections at: stomp://LAPTOP-QHB4PNJK:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-12-19 17:31:39,611 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-12-19 17:31:39,618 | INFO  | Listening for connections at: mqtt://LAPTOP-QHB4PNJK:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-12-19 17:31:39,618 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-12-19 17:31:39,852 | INFO  | Listening for connections at ws://LAPTOP-QHB4PNJK:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2018-12-19 17:31:39,852 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-12-19 17:31:39,855 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:LAPTOP-QHB4PNJK-64121-1545211899342-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-12-19 17:31:39,855 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-12-19 17:31:40,640 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2018-12-19 17:31:40,783 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2018-12-19 17:31:41,589 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | WrapperSimpleAppMain
